"Description","Latitude","Longitude","Title","Group","TabTitle","Location","Icon","Shadow","DateOpened","TimeOpened","DateClosed","TimeClosed","Status","Crime","CaseNumber","CrimeClassification","IncidentNumber"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 300 Block of W 14TH ST<br><b>City:</b> Davis<br><b>Occurred:</b> 1/21/2016 at 1900<br><b>Case #:</b> 16-342<br><b>Incident #:</b> 1601250054<br><br>","38.5555614","-121.7504238","Petty Theft $950-  Misd","LARCENY","Theft","300 Block of W 14TH ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/25/2016 12:00:00 AM","","","","","488 PC","16-342","Misdemeanor","1601250054"
"<hr><b><big>Rape:vict Incpbl Of Cnsnt</big></b><hr><b>Crime:</b> 261(A)(1) PC<br><b>Crime Type:</b> Sexual Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 500 Block of RUSSELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 4/30/2016 at 2200<br><b>Case #:</b> 17-1997<br><b>Incident #:</b> 1705190102<br><br>","38.54632","-121.75587","Rape:Vict Incpbl Of Cnsnt","RAPE","Sexual Assault","500 Block of RUSSELL BL","https://dpd.crimegraphics.com/2013//icons/icon6.png","shadow.png","5/19/2017 12:00:00 AM","","","","","261(A)(1) PC","17-1997","Felony","1705190102"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 700 Block of ANDERSON RD<br><b>City:</b> Davis<br><b>Occurred:</b> 5/2/2016 at 1520<br><b>Case #:</b> 18-3983<br><b>Incident #:</b> 1810260044<br><br>","38.5490981","-121.7586986","Petty Theft $950-  Misd","LARCENY","Theft","700 Block of ANDERSON RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","10/26/2018 12:00:00 AM","","","","","488 PC","18-3983","Misdemeanor","1810260044"
"<hr><b><big>Rape:vict Incpbl Of Cnsnt</big></b><hr><b>Crime:</b> 261(A)(1) PC<br><b>Crime Type:</b> Sexual Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 500 Block of RUSSELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 4/30/2016 at 2200<br><b>Case #:</b> 17-1997<br><b>Incident #:</b> 1705190102<br><br>","38.54632","-121.75587","Rape:Vict Incpbl Of Cnsnt","RAPE","Sexual Assault","500 Block of RUSSELL BL","https://dpd.crimegraphics.com/2013//icons/icon6.png","shadow.png","5/19/2017 12:00:00 AM","","","","","261(A)(1) PC","17-1997","Felony","1705190102"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 800 Block of 2ND ST<br><b>City:</b> Davis<br><b>Occurred:</b> 6/26/2016 at 0000<br><b>Case #:</b> 18-636<br><b>Incident #:</b> 1802120043<br><br>","38.54371","-121.7384","Petty Theft $950-  Misd","LARCENY","Theft","800 Block of 2ND ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","2/12/2018 12:00:00 AM","","","","","488 PC","18-636","Misdemeanor","1802120043"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1600 Block of ALICE ST<br><b>City:</b> Davis<br><b>Occurred:</b> 6/1/2016 at 0000<br><b>Case #:</b> 17-1090<br><b>Incident #:</b> 1703160045<br><br>","38.55559","-121.73151","Burglary (Residential)","BURGLARY","Burglary","1600 Block of ALICE ST","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","3/16/2017 12:00:00 AM","","","","","459 PC","17-1090","Felony","1703160045"
"<hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 700 Block of CHRISTIE CT<br><b>City:</b> Davis<br><b>Occurred:</b> 6/25/2016 at 0000<br><b>Case #:</b> 17-431<br><b>Incident #:</b> 1701300117<br><br>","38.54541","-121.71711","Grnd Thft:Prop/Etc $950+ -Felony","LARCENY","Theft","700 Block of CHRISTIE CT","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/30/2017 12:00:00 AM","","","","","487(A) PC","17-431","Felony","1701300117"
"<hr><b><big>Petty Theft</big></b><hr><b>Crime:</b> 484(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1800 Block of HANOVER DR<br><b>City:</b> Davis<br><b>Occurred:</b> 6/16/2016 at 1645<br><b>Case #:</b> 18-2212<br><b>Incident #:</b> 1806160109<br><br>","38.5602","-121.75538","Petty Theft","LARCENY","Theft","1800 Block of HANOVER DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","6/16/2018 12:00:00 AM","","","","","484(A) PC","18-2212","Misdemeanor","1806160109"
"<hr><b><big>RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP</big></b><hr><b>Crime:</b> 261(A)(4)(A) PC<br><b>Crime Type:</b> Sexual Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2000 Block of SUTTER PL<br><b>City:</b> Davis<br><b>Occurred:</b> 6/8/2016 at 0000<br><b>Case #:</b> 16-2615<br><b>Incident #:</b> 1606210125<br><br>","38.56285","-121.7713","RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP ","RAPE","Sexual Assault","2000 Block of SUTTER PL","https://dpd.crimegraphics.com/2013//icons/icon6.png","shadow.png","6/21/2016 12:00:00 AM","","","","","261(A)(4)(A) PC","16-2615","Felony","1606210125"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 700 Block of 2ND ST<br><b>City:</b> Davis<br><b>Occurred:</b> 7/15/2016 at 0000<br><b>Case #:</b> 16-3079<br><b>Incident #:</b> 1607220053<br><br>","38.54369","-121.73959","Petty Theft $950-  Misd","LARCENY","Theft","700 Block of 2ND ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","7/22/2016 12:00:00 AM","","","","","488 PC","16-3079","Misdemeanor","1607220053"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1200 Block of OLIVE DR<br><b>City:</b> Davis<br><b>Occurred:</b> 8/5/2016 at 2230<br><b>Case #:</b> 17-3042<br><b>Incident #:</b> 1708060053<br><br>","38.54244","-121.73476","Burglary (Vehicle)","LARCENY","Theft","1200 Block of OLIVE DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/6/2017 12:00:00 AM","","","","","459 PC","17-3042","Felony","1708060053"
